id,url_id,url,date,time,price,provider,seat_number,location_name,court_type,time_category,duration,review_count,prepayment_required,created_at,updated_at,extracted_at
36545,7,,2025-11-10,19:00:00,4 500 ₽,Падел Площадка А33,A33,,,EVENING,60,,False,2025-11-09T16:34:30.168149,2025-11-09T08:34:30.584725,2025-11-09T08:34:30.584725
36544,7,,2025-11-10,18:00:00,4 000 ₽,Падел Площадка А33,A33,,,EVENING,60,,False,2025-11-09T16:34:29.497626,2025-11-09T08:34:29.93504,2025-11-09T08:34:29.93504
36543,6,,2025-11-10,16:00:00,2 500 ₽,Теннисный корт №1,T1,,,DAY,60,,False,2025-11-09T16:34:28.430665,2025-11-09T08:34:28.8654,2025-11-09T08:34:28.8654
36542,6,,2025-11-10,15:00:00,3 000 ₽,Аренда корта,A2,,,DAY,60,,False,2025-11-09T16:34:27.728185,2025-11-09T08:34:28.1613,2025-11-09T08:34:28.1613
36541,6,,2025-11-10,14:00:00,3 000 ₽,Аренда корта,A1,,,DAY,60,,False,2025-11-09T16:34:27.01133,2025-11-09T08:34:27.444024,2025-11-09T08:34:27.444024
36540,5,,2025-11-10,11:00:00,1 200 ₽,Корт 3 (для игры 1х1),3,,,MORNING,60,,False,2025-11-09T16:34:25.976189,2025-11-09T08:34:26.413368,2025-11-09T08:34:26.413368
36539,5,,2025-11-10,10:00:00,2 400 ₽,Корт 2 (для игры 2х2),2,,,MORNING,60,,False,2025-11-09T16:34:25.251227,2025-11-09T08:34:25.706075,2025-11-09T08:34:25.706075
36538,5,,2025-11-10,09:00:00,1 200 ₽,Корт 1 (для игры 1х1),1,,,MORNING,60,,False,2025-11-09T16:34:24.542136,2025-11-09T08:34:24.986031,2025-11-09T08:34:24.986031
36614,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T13:16:06.891547,2025-11-09T13:16:06.953733,2025-11-09T13:16:06.953733
36613,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T13:16:06.891378,2025-11-09T13:16:06.953733,2025-11-09T13:16:06.953733
36612,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T13:16:06.685077,2025-11-09T13:16:06.741119,2025-11-09T13:16:06.741119
36610,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T12:59:10.019634,2025-11-09T12:59:10.051168,2025-11-09T12:59:10.051168
36609,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T12:42:05.89417,2025-11-09T12:42:05.938765,2025-11-09T12:42:05.938765
36608,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T12:42:05.894054,2025-11-09T12:42:05.938765,2025-11-09T12:42:05.938765
36607,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T12:42:05.75546,2025-11-09T12:42:05.795083,2025-11-09T12:42:05.795083
36606,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T12:24:55.347724,2025-11-09T12:24:55.410602,2025-11-09T12:24:55.410602
36605,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T12:24:55.347573,2025-11-09T12:24:55.410602,2025-11-09T12:24:55.410602
36604,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T12:24:55.114106,2025-11-09T12:24:55.185514,2025-11-09T12:24:55.185514
36603,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T12:07:50.365707,2025-11-09T12:07:50.414956,2025-11-09T12:07:50.414956
36602,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T12:07:50.365547,2025-11-09T12:07:50.414956,2025-11-09T12:07:50.414956
36601,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T12:07:50.365416,2025-11-09T12:07:50.414956,2025-11-09T12:07:50.414956
36600,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T12:07:50.365234,2025-11-09T12:07:50.414956,2025-11-09T12:07:50.414956
36599,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T12:07:50.198455,2025-11-09T12:07:50.259168,2025-11-09T12:07:50.259168
36598,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:51:54.957005,2025-11-09T11:51:55.01514,2025-11-09T11:51:55.01514
36597,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:51:54.956931,2025-11-09T11:51:55.01514,2025-11-09T11:51:55.01514
36596,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:51:54.95685,2025-11-09T11:51:55.01514,2025-11-09T11:51:55.01514
36595,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T11:51:54.956704,2025-11-09T11:51:55.01514,2025-11-09T11:51:55.01514
36594,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T11:51:54.792898,2025-11-09T11:51:54.84298,2025-11-09T11:51:54.84298
36593,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:35:40.576925,2025-11-09T11:35:40.617238,2025-11-09T11:35:40.617238
36592,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:35:40.576775,2025-11-09T11:35:40.617238,2025-11-09T11:35:40.617238
36591,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:35:40.576585,2025-11-09T11:35:40.617238,2025-11-09T11:35:40.617238
36590,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T11:35:40.576388,2025-11-09T11:35:40.617238,2025-11-09T11:35:40.617238
36589,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:18:48.846693,2025-11-09T11:18:48.875371,2025-11-09T11:18:48.875371
36588,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:18:48.846565,2025-11-09T11:18:48.875371,2025-11-09T11:18:48.875371
36587,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:18:48.846404,2025-11-09T11:18:48.875371,2025-11-09T11:18:48.875371
36586,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T11:18:48.846249,2025-11-09T11:18:48.875371,2025-11-09T11:18:48.875371
36585,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T11:18:48.622413,2025-11-09T11:18:48.679105,2025-11-09T11:18:48.679105
36584,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:01:44.881149,2025-11-09T11:01:44.946336,2025-11-09T11:01:44.946336
36583,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T11:01:44.880983,2025-11-09T11:01:44.946336,2025-11-09T11:01:44.946336
36582,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T11:01:44.691419,2025-11-09T11:01:44.753216,2025-11-09T11:01:44.753216
36581,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T10:45:05.230352,2025-11-09T10:45:05.274933,2025-11-09T10:45:05.274933
36580,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T10:45:05.230217,2025-11-09T10:45:05.274933,2025-11-09T10:45:05.274933
36579,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T10:27:30.775283,2025-11-09T10:27:30.812797,2025-11-09T10:27:30.812797
36578,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T10:27:30.775053,2025-11-09T10:27:30.812797,2025-11-09T10:27:30.812797
36577,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T10:27:30.613324,2025-11-09T10:27:30.662889,2025-11-09T10:27:30.662889
36576,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T10:11:10.643771,2025-11-09T10:11:10.680818,2025-11-09T10:11:10.680818
36575,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T10:11:10.643511,2025-11-09T10:11:10.680818,2025-11-09T10:11:10.680818
36574,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T10:11:10.643326,2025-11-09T10:11:10.680818,2025-11-09T10:11:10.680818
36573,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T10:11:10.504474,2025-11-09T10:11:10.540752,2025-11-09T10:11:10.540752
36572,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:54:44.946143,2025-11-09T09:54:45.016455,2025-11-09T09:54:45.016455
36571,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:54:44.94604,2025-11-09T09:54:45.016455,2025-11-09T09:54:45.016455
36570,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:54:44.945893,2025-11-09T09:54:45.016455,2025-11-09T09:54:45.016455
36569,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T09:54:44.751382,2025-11-09T09:54:44.806876,2025-11-09T09:54:44.806876
36568,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:38:02.24744,2025-11-09T09:38:02.289738,2025-11-09T09:38:02.289738
36567,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:38:02.247306,2025-11-09T09:38:02.289738,2025-11-09T09:38:02.289738
36566,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:38:02.24716,2025-11-09T09:38:02.289738,2025-11-09T09:38:02.289738
36565,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T09:38:02.111009,2025-11-09T09:38:02.155081,2025-11-09T09:38:02.155081
36564,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:21:32.868374,2025-11-09T09:21:32.918745,2025-11-09T09:21:32.918745
36563,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:21:32.868267,2025-11-09T09:21:32.918745,2025-11-09T09:21:32.918745
36562,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:21:32.868152,2025-11-09T09:21:32.918745,2025-11-09T09:21:32.918745
36561,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T09:21:32.867992,2025-11-09T09:21:32.918745,2025-11-09T09:21:32.918745
36560,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T09:21:32.714179,2025-11-09T09:21:32.763128,2025-11-09T09:21:32.763128
36559,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:05:23.553452,2025-11-09T09:05:23.595598,2025-11-09T09:05:23.595598
36558,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:05:23.553285,2025-11-09T09:05:23.595598,2025-11-09T09:05:23.595598
36557,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T09:05:23.553169,2025-11-09T09:05:23.595598,2025-11-09T09:05:23.595598
36556,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T09:05:23.552971,2025-11-09T09:05:23.595598,2025-11-09T09:05:23.595598
36555,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T09:05:23.378679,2025-11-09T09:05:23.422423,2025-11-09T09:05:23.422423
36554,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T08:48:49.162923,2025-11-09T08:48:49.625211,2025-11-09T08:48:49.625211
36553,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T08:48:49.162803,2025-11-09T08:48:49.625211,2025-11-09T08:48:49.625211
36552,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T08:48:49.162666,2025-11-09T08:48:49.625211,2025-11-09T08:48:49.625211
36551,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T08:48:49.162528,2025-11-09T08:48:49.625211,2025-11-09T08:48:49.625211
36535,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T08:10:05.45939,2025-11-09T08:10:05.514667,2025-11-09T08:10:05.514667
36534,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T08:10:05.459154,2025-11-09T08:10:05.514667,2025-11-09T08:10:05.514667
36533,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T08:10:05.45899,2025-11-09T08:10:05.514667,2025-11-09T08:10:05.514667
36532,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T08:10:05.458815,2025-11-09T08:10:05.514667,2025-11-09T08:10:05.514667
36531,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T08:10:05.232216,2025-11-09T08:10:05.303434,2025-11-09T08:10:05.303434
36530,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:50:40.868151,2025-11-09T07:50:40.916032,2025-11-09T07:50:40.916032
36529,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:50:40.868024,2025-11-09T07:50:40.916032,2025-11-09T07:50:40.916032
36528,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:50:40.867922,2025-11-09T07:50:40.916032,2025-11-09T07:50:40.916032
36527,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T07:50:40.867783,2025-11-09T07:50:40.916032,2025-11-09T07:50:40.916032
36526,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T07:50:40.651053,2025-11-09T07:50:40.717725,2025-11-09T07:50:40.717725
36525,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:34:36.052026,2025-11-09T07:34:36.076285,2025-11-09T07:34:36.076285
36524,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:34:36.051862,2025-11-09T07:34:36.076285,2025-11-09T07:34:36.076285
36523,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:34:36.051496,2025-11-09T07:34:36.076285,2025-11-09T07:34:36.076285
36522,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T07:34:36.051268,2025-11-09T07:34:36.076285,2025-11-09T07:34:36.076285
36521,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T07:34:35.896749,2025-11-09T07:34:35.926252,2025-11-09T07:34:35.926252
36520,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:17:45.53946,2025-11-09T07:17:45.599381,2025-11-09T07:17:45.599381
36519,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:17:45.539276,2025-11-09T07:17:45.599381,2025-11-09T07:17:45.599381
36518,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:17:45.539146,2025-11-09T07:17:45.599381,2025-11-09T07:17:45.599381
36517,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T07:17:45.538996,2025-11-09T07:17:45.599381,2025-11-09T07:17:45.599381
36516,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T07:17:45.337127,2025-11-09T07:17:45.397324,2025-11-09T07:17:45.397324
36515,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:01:46.253092,2025-11-09T07:01:46.314479,2025-11-09T07:01:46.314479
36514,2,,2025-11-09,19:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:01:46.253003,2025-11-09T07:01:46.314479,2025-11-09T07:01:46.314479
36513,2,,2025-11-09,18:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T07:01:46.252881,2025-11-09T07:01:46.314479,2025-11-09T07:01:46.314479
36512,2,,2025-11-09,17:00:00,Цена не найдена,Не указан,,,,DAY,3600,,False,2025-11-09T07:01:46.25274,2025-11-09T07:01:46.314479,2025-11-09T07:01:46.314479
36511,1,,2025-11-09,22:30:00,Цена не найдена,Не указан,,,,EVENING,1800,,False,2025-11-09T07:01:46.00308,2025-11-09T07:01:46.074607,2025-11-09T07:01:46.074607
36510,2,,2025-11-09,20:00:00,Цена не найдена,Не указан,,,,EVENING,3600,,False,2025-11-09T06:45:36.935828,2025-11-09T06:45:36.992679,2025-11-09T06:45:36.992679
